survey,target,country,type,section,gate,country_rank,role
afrobarometer,Q91A,Zambia,nominal,wellbeing,False,6,oracle_only
afrobarometer,Q91A,Eswatini,nominal,wellbeing,False,7,oracle_only
afrobarometer,Q91A,Burkina Faso,nominal,wellbeing,False,8,oracle_only
afrobarometer,Q91A,Ethiopia,nominal,wellbeing,False,9,oracle_only
afrobarometer,Q91A,Congo-Brazzaville,nominal,wellbeing,False,10,oracle_only
afrobarometer,Q51B,Morocco,nominal,social_attitudes,False,1,confirmatory
afrobarometer,Q51B,Senegal,nominal,social_attitudes,False,2,confirmatory
afrobarometer,Q51B,Togo,nominal,social_attitudes,False,3,confirmatory
afrobarometer,Q51B,Mali,nominal,social_attitudes,False,4,oracle_only
afrobarometer,Q51B,Burkina Faso,nominal,social_attitudes,False,5,oracle_only
afrobarometer,Q51B,Gambia,nominal,social_attitudes,False,6,oracle_only
afrobarometer,Q51B,South Africa,nominal,social_attitudes,False,7,oracle_only
afrobarometer,Q51B,Cameroon,nominal,social_attitudes,False,8,oracle_only
afrobarometer,Q51B,Sierra Leone,nominal,social_attitudes,False,9,oracle_only
afrobarometer,Q51B,Liberia,nominal,social_attitudes,False,10,oracle_only
afrobarometer,Q72D,Zimbabwe,nominal,contemporary_issues,False,1,confirmatory
afrobarometer,Q72D,Mauritania,nominal,contemporary_issues,False,2,confirmatory
afrobarometer,Q72D,Eswatini,nominal,contemporary_issues,False,3,confirmatory
afrobarometer,Q72D,Gambia,nominal,contemporary_issues,False,4,oracle_only
afrobarometer,Q72D,Liberia,nominal,contemporary_issues,False,5,oracle_only
afrobarometer,Q72D,Mauritius,nominal,contemporary_issues,False,6,oracle_only
afrobarometer,Q72D,Cabo Verde,nominal,contemporary_issues,False,7,oracle_only
afrobarometer,Q72D,Sudan,nominal,contemporary_issues,False,8,oracle_only
afrobarometer,Q72D,Nigeria,nominal,contemporary_issues,False,9,oracle_only
afrobarometer,Q72D,Congo-Brazzaville,nominal,contemporary_issues,False,10,oracle_only
afrobarometer,Q46J,Cameroon,ordinal,institutional_trust,False,1,confirmatory
afrobarometer,Q46J,Tanzania,ordinal,institutional_trust,False,2,confirmatory
afrobarometer,Q46J,São Tomé and Príncipe,ordinal,institutional_trust,False,3,confirmatory
afrobarometer,Q46J,Angola,ordinal,institutional_trust,False,4,oracle_only
afrobarometer,Q46J,Niger,ordinal,institutional_trust,False,5,oracle_only
afrobarometer,Q46J,Sierra Leone,ordinal,institutional_trust,False,6,oracle_only
afrobarometer,Q46J,Senegal,ordinal,institutional_trust,False,7,oracle_only
afrobarometer,Q46J,Guinea,ordinal,institutional_trust,False,8,oracle_only
afrobarometer,Q46J,Gambia,ordinal,institutional_trust,False,9,oracle_only
afrobarometer,Q46J,Zimbabwe,ordinal,institutional_trust,False,10,oracle_only
afrobarometer,Q72C,Madagascar,ordinal,contemporary_issues,False,1,confirmatory
afrobarometer,Q72C,Cabo Verde,ordinal,contemporary_issues,False,2,confirmatory
afrobarometer,Q72C,Sudan,ordinal,contemporary_issues,False,3,confirmatory
afrobarometer,Q72C,Mozambique,ordinal,contemporary_issues,False,4,oracle_only
afrobarometer,Q72C,Seychelles,ordinal,contemporary_issues,False,5,oracle_only
afrobarometer,Q72C,Morocco,ordinal,contemporary_issues,False,6,oracle_only
afrobarometer,Q72C,Gambia,ordinal,contemporary_issues,False,7,oracle_only
afrobarometer,Q72C,Cameroon,ordinal,contemporary_issues,False,8,oracle_only
afrobarometer,Q72C,Guinea,ordinal,contemporary_issues,False,9,oracle_only
afrobarometer,Q72C,Tanzania,ordinal,contemporary_issues,False,10,oracle_only
afrobarometer,Q10B,Benin,ordinal,political_participation,False,1,confirmatory
afrobarometer,Q10B,Uganda,ordinal,political_participation,False,2,confirmatory
afrobarometer,Q10B,Cameroon,ordinal,political_participation,False,3,confirmatory
afrobarometer,Q10B,Sierra Leone,ordinal,political_participation,False,4,oracle_only
afrobarometer,Q10B,Lesotho,ordinal,political_participation,False,5,oracle_only
afrobarometer,Q10B,Eswatini,ordinal,political_participation,False,6,oracle_only
afrobarometer,Q10B,Mauritius,ordinal,political_participation,False,7,oracle_only
afrobarometer,Q10B,Togo,ordinal,political_participation,False,8,oracle_only
afrobarometer,Q10B,Tanzania,ordinal,political_participation,False,9,oracle_only
afrobarometer,Q10B,Congo-Brazzaville,ordinal,political_participation,False,10,oracle_only
afrobarometer,Q90I,Guinea,ordinal,demographics,False,1,confirmatory
afrobarometer,Q90I,Zambia,ordinal,demographics,False,2,confirmatory
afrobarometer,Q90I,Côte d'Ivoire,ordinal,demographics,False,3,confirmatory
afrobarometer,Q90I,Ethiopia,ordinal,demographics,False,4,oracle_only
afrobarometer,Q90I,Tunisia,ordinal,demographics,False,5,oracle_only
afrobarometer,Q90I,Benin,ordinal,demographics,False,6,oracle_only
afrobarometer,Q90I,Namibia,ordinal,demographics,False,7,oracle_only
afrobarometer,Q90I,Seychelles,ordinal,demographics,False,8,oracle_only
afrobarometer,Q90I,Mauritius,ordinal,demographics,False,9,oracle_only
afrobarometer,Q90I,Mozambique,ordinal,demographics,False,10,oracle_only
afrobarometer,Q51A,Gabon,ordinal,social_attitudes,False,1,confirmatory
afrobarometer,Q51A,Cameroon,ordinal,social_attitudes,False,2,confirmatory
afrobarometer,Q51A,Angola,ordinal,social_attitudes,False,3,confirmatory
afrobarometer,Q51A,Sierra Leone,ordinal,social_attitudes,False,4,oracle_only
afrobarometer,Q51A,Mozambique,ordinal,social_attitudes,False,5,oracle_only
afrobarometer,Q51A,Mauritius,ordinal,social_attitudes,False,6,oracle_only
afrobarometer,Q51A,Tanzania,ordinal,social_attitudes,False,7,oracle_only
afrobarometer,Q51A,Seychelles,ordinal,social_attitudes,False,8,oracle_only
afrobarometer,Q51A,Mali,ordinal,social_attitudes,False,9,oracle_only
afrobarometer,Q51A,Benin,ordinal,social_attitudes,False,10,oracle_only
afrobarometer,Q88B,Ghana,ordinal,values_identity,False,1,confirmatory
afrobarometer,Q88B,Lesotho,ordinal,values_identity,False,2,confirmatory
afrobarometer,Q88B,Cabo Verde,ordinal,values_identity,False,3,confirmatory
afrobarometer,Q88B,Madagascar,ordinal,values_identity,False,4,oracle_only
afrobarometer,Q88B,Cameroon,ordinal,values_identity,False,5,oracle_only
afrobarometer,Q88B,São Tomé and Príncipe,ordinal,values_identity,False,6,oracle_only
afrobarometer,Q88B,Uganda,ordinal,values_identity,False,7,oracle_only
afrobarometer,Q88B,Guinea,ordinal,values_identity,False,8,oracle_only
afrobarometer,Q88B,Tunisia,ordinal,values_identity,False,9,oracle_only
afrobarometer,Q88B,Niger,ordinal,values_identity,False,10,oracle_only
afrobarometer,Q6D,Sudan,ordinal,wellbeing,False,1,confirmatory
afrobarometer,Q6D,Mauritius,ordinal,wellbeing,False,2,confirmatory
afrobarometer,Q6D,Morocco,ordinal,wellbeing,False,3,confirmatory
afrobarometer,Q6D,Namibia,ordinal,wellbeing,False,4,oracle_only
afrobarometer,Q6D,Senegal,ordinal,wellbeing,False,5,oracle_only
afrobarometer,Q6D,Togo,ordinal,wellbeing,False,6,oracle_only
afrobarometer,Q6D,Zambia,ordinal,wellbeing,False,7,oracle_only
afrobarometer,Q6D,Botswana,ordinal,wellbeing,False,8,oracle_only
afrobarometer,Q6D,Tunisia,ordinal,wellbeing,False,9,oracle_only
afrobarometer,Q6D,Cameroon,ordinal,wellbeing,False,10,oracle_only
afrobarometer,Q14C,Tanzania,ordinal,political_attitudes,False,1,confirmatory
afrobarometer,Q14C,Morocco,ordinal,political_attitudes,False,2,confirmatory
afrobarometer,Q14C,Zimbabwe,ordinal,political_attitudes,False,3,confirmatory
afrobarometer,Q14C,Madagascar,ordinal,political_attitudes,False,4,oracle_only
afrobarometer,Q14C,Mauritius,ordinal,political_attitudes,False,5,oracle_only
afrobarometer,Q14C,Senegal,ordinal,political_attitudes,False,6,oracle_only
afrobarometer,Q14C,Gambia,ordinal,political_attitudes,False,7,oracle_only
afrobarometer,Q14C,Namibia,ordinal,political_attitudes,False,8,oracle_only
afrobarometer,Q14C,Benin,ordinal,political_attitudes,False,9,oracle_only
afrobarometer,Q14C,Angola,ordinal,political_attitudes,False,10,oracle_only
afrobarometer,Q44D,Mali,ordinal,institutional_trust,False,1,confirmatory
afrobarometer,Q44D,Gabon,ordinal,institutional_trust,False,2,confirmatory
afrobarometer,Q44D,Malawi,ordinal,institutional_trust,False,3,confirmatory
afrobarometer,Q44D,Tunisia,ordinal,institutional_trust,False,4,oracle_only
afrobarometer,Q44D,Côte d'Ivoire,ordinal,institutional_trust,False,5,oracle_only
afrobarometer,Q44D,Lesotho,ordinal,institutional_trust,False,6,oracle_only
afrobarometer,Q44D,Botswana,ordinal,institutional_trust,False,7,oracle_only
afrobarometer,Q44D,Guinea,ordinal,institutional_trust,False,8,oracle_only
afrobarometer,Q44D,Mozambique,ordinal,institutional_trust,False,9,oracle_only
afrobarometer,Q44D,Sierra Leone,ordinal,institutional_trust,False,10,oracle_only
afrobarometer,Q66A,Senegal,ordinal,contemporary_issues,False,1,confirmatory
afrobarometer,Q66A,Gambia,ordinal,contemporary_issues,False,2,confirmatory
afrobarometer,Q66A,Liberia,ordinal,contemporary_issues,False,3,confirmatory
afrobarometer,Q66A,Guinea,ordinal,contemporary_issues,False,4,oracle_only
afrobarometer,Q66A,Nigeria,ordinal,contemporary_issues,False,5,oracle_only
afrobarometer,Q66A,Zambia,ordinal,contemporary_issues,False,6,oracle_only
afrobarometer,Q66A,Gabon,ordinal,contemporary_issues,False,7,oracle_only
afrobarometer,Q66A,Cameroon,ordinal,contemporary_issues,False,8,oracle_only
afrobarometer,Q66A,Burkina Faso,ordinal,contemporary_issues,False,9,oracle_only
afrobarometer,Q66A,Kenya,ordinal,contemporary_issues,False,10,oracle_only
afrobarometer,Q11E,Togo,ordinal,political_participation,True,1,confirmatory
afrobarometer,Q11E,Botswana,ordinal,political_participation,True,2,confirmatory
afrobarometer,Q11E,Zimbabwe,ordinal,political_participation,True,3,confirmatory
afrobarometer,Q11E,Congo-Brazzaville,ordinal,political_participation,True,4,oracle_only
afrobarometer,Q11E,Guinea,ordinal,political_participation,True,5,oracle_only
afrobarometer,Q11E,Mauritania,ordinal,political_participation,True,6,oracle_only
afrobarometer,Q11E,Côte d'Ivoire,ordinal,political_participation,True,7,oracle_only
afrobarometer,Q11E,South Africa,ordinal,political_participation,True,8,oracle_only
afrobarometer,Q11E,Liberia,ordinal,political_participation,True,9,oracle_only
afrobarometer,Q11E,Cameroon,ordinal,political_participation,True,10,oracle_only
afrobarometer,Q90H,Burkina Faso,ordinal,demographics,False,1,confirmatory
afrobarometer,Q90H,Ethiopia,ordinal,demographics,False,2,confirmatory
afrobarometer,Q90H,Mauritius,ordinal,demographics,False,3,confirmatory
afrobarometer,Q90H,Seychelles,ordinal,demographics,False,4,oracle_only
afrobarometer,Q90H,Congo-Brazzaville,ordinal,demographics,False,5,oracle_only
afrobarometer,Q90H,Togo,ordinal,demographics,False,6,oracle_only
afrobarometer,Q90H,Sudan,ordinal,demographics,False,7,oracle_only
afrobarometer,Q90H,South Africa,ordinal,demographics,False,8,oracle_only
afrobarometer,Q90H,São Tomé and Príncipe,ordinal,demographics,False,9,oracle_only
afrobarometer,Q90H,Côte d'Ivoire,ordinal,demographics,False,10,oracle_only
afrobarometer,Q87D,Sudan,ordinal,social_attitudes,False,1,confirmatory
afrobarometer,Q87D,São Tomé and Príncipe,ordinal,social_attitudes,False,2,confirmatory
afrobarometer,Q87D,Zambia,ordinal,social_attitudes,False,3,confirmatory
afrobarometer,Q87D,Uganda,ordinal,social_attitudes,False,4,oracle_only
afrobarometer,Q87D,Morocco,ordinal,social_attitudes,False,5,oracle_only
afrobarometer,Q87D,Malawi,ordinal,social_attitudes,False,6,oracle_only
afrobarometer,Q87D,Liberia,ordinal,social_attitudes,False,7,oracle_only
afrobarometer,Q87D,Namibia,ordinal,social_attitudes,False,8,oracle_only
afrobarometer,Q87D,Angola,ordinal,social_attitudes,False,9,oracle_only
afrobarometer,Q87D,Seychelles,ordinal,social_attitudes,False,10,oracle_only
afrobarometer,Q88A,Liberia,ordinal,values_identity,False,1,confirmatory
afrobarometer,Q88A,Niger,ordinal,values_identity,False,2,confirmatory
afrobarometer,Q88A,Mauritania,ordinal,values_identity,False,3,confirmatory
afrobarometer,Q88A,Sierra Leone,ordinal,values_identity,False,4,oracle_only
afrobarometer,Q88A,Gambia,ordinal,values_identity,False,5,oracle_only
afrobarometer,Q88A,Ethiopia,ordinal,values_identity,False,6,oracle_only
afrobarometer,Q88A,Sudan,ordinal,values_identity,False,7,oracle_only
afrobarometer,Q88A,Gabon,ordinal,values_identity,False,8,oracle_only
afrobarometer,Q88A,Madagascar,ordinal,values_identity,False,9,oracle_only
afrobarometer,Q88A,Benin,ordinal,values_identity,False,10,oracle_only
arabbarometer,Q301C,Mauritania,binary,political_participation,False,1,confirmatory
arabbarometer,Q301C,Iraq,binary,political_participation,False,2,confirmatory
arabbarometer,Q301C,Morocco,binary,political_participation,False,3,confirmatory
arabbarometer,Q104,Palestine,binary,social_attitudes,True,1,confirmatory
arabbarometer,Q104,Mauritania,binary,social_attitudes,True,2,confirmatory
arabbarometer,Q104,Iraq,binary,social_attitudes,True,3,confirmatory
arabbarometer,Q104,Tunisia,binary,social_attitudes,True,4,oracle_only
arabbarometer,Q104,Morocco,binary,social_attitudes,True,5,oracle_only
arabbarometer,Q104,Lebanon,binary,social_attitudes,True,6,oracle_only
arabbarometer,Q104,Jordan,binary,social_attitudes,True,7,oracle_only
arabbarometer,Q104,Kuwait,binary,social_attitudes,True,8,oracle_only
arabbarometer,Q501D,Iraq,binary,political_participation,True,1,confirmatory
arabbarometer,Q501D,Tunisia,binary,political_participation,True,2,confirmatory
arabbarometer,Q501D,Kuwait,binary,political_participation,True,3,confirmatory
arabbarometer,Q501D,Lebanon,binary,political_participation,True,4,oracle_only
arabbarometer,Q501D,Jordan,binary,political_participation,True,5,oracle_only
arabbarometer,Q501D,Palestine,binary,political_participation,True,6,oracle_only
arabbarometer,Q501D,Morocco,binary,political_participation,True,7,oracle_only
arabbarometer,Q501D,Mauritania,binary,political_participation,True,8,oracle_only
arabbarometer,Q276,Lebanon,nominal,institutional_trust,False,1,confirmatory
arabbarometer,Q276,Morocco,nominal,institutional_trust,False,2,confirmatory
arabbarometer,Q276,Iraq,nominal,institutional_trust,False,3,confirmatory
arabbarometer,Q276,Tunisia,nominal,institutional_trust,False,4,oracle_only
arabbarometer,Q276,Kuwait,nominal,institutional_trust,False,5,oracle_only
arabbarometer,Q276,Palestine,nominal,institutional_trust,False,6,oracle_only
arabbarometer,Q276,Jordan,nominal,institutional_trust,False,7,oracle_only
arabbarometer,Q276,Mauritania,nominal,institutional_trust,False,8,oracle_only
arabbarometer,Q112B,Tunisia,nominal,wellbeing,False,1,confirmatory
arabbarometer,Q112B,Palestine,nominal,wellbeing,False,2,confirmatory
arabbarometer,Q112B,Lebanon,nominal,wellbeing,False,3,confirmatory
arabbarometer,Q112B,Mauritania,nominal,wellbeing,False,4,oracle_only
arabbarometer,Q112B,Morocco,nominal,wellbeing,False,5,oracle_only
arabbarometer,Q112B,Jordan,nominal,wellbeing,False,6,oracle_only
arabbarometer,Q112B,Iraq,nominal,wellbeing,False,7,oracle_only
arabbarometer,Q548_2,Lebanon,nominal,contemporary_issues,False,1,confirmatory
arabbarometer,Q548_2,Kuwait,nominal,contemporary_issues,False,2,confirmatory
arabbarometer,Q548_2,Mauritania,nominal,contemporary_issues,False,3,confirmatory
arabbarometer,Q548_2,Morocco,nominal,contemporary_issues,False,4,oracle_only
arabbarometer,Q548_2,Iraq,nominal,contemporary_issues,False,5,oracle_only
arabbarometer,Q548_2,Tunisia,nominal,contemporary_issues,False,6,oracle_only
arabbarometer,Q548_2,Jordan,nominal,contemporary_issues,False,7,oracle_only
arabbarometer,Q548_2,Palestine,nominal,contemporary_issues,False,8,oracle_only
arabbarometer,Q404,Kuwait,nominal,political_participation,False,1,confirmatory
arabbarometer,Q404,Morocco,nominal,political_participation,False,2,confirmatory
arabbarometer,Q404,Mauritania,nominal,political_participation,False,3,confirmatory
arabbarometer,Q404,Lebanon,nominal,political_participation,False,4,oracle_only
arabbarometer,Q404,Tunisia,nominal,political_participation,False,5,oracle_only
arabbarometer,Q404,Iraq,nominal,political_participation,False,6,oracle_only
arabbarometer,Q404,Jordan,nominal,political_participation,False,7,oracle_only
arabbarometer,Q404,Palestine,nominal,political_participation,False,8,oracle_only
arabbarometer,Q303B_1,Tunisia,ordinal,political_participation,False,1,confirmatory
arabbarometer,Q303B_1,Mauritania,ordinal,political_participation,False,2,confirmatory
arabbarometer,Q303B_1,Morocco,ordinal,political_participation,False,3,confirmatory
arabbarometer,Q303B_1,Iraq,ordinal,political_participation,False,4,oracle_only
arabbarometer,Q303B_1,Jordan,ordinal,political_participation,False,5,oracle_only
arabbarometer,Q303B_1,Lebanon,ordinal,political_participation,False,6,oracle_only
arabbarometer,Q731_5,Palestine,ordinal,political_attitudes,False,1,confirmatory
arabbarometer,Q731_5,Jordan,ordinal,political_attitudes,False,2,confirmatory
arabbarometer,Q731_5,Iraq,ordinal,political_attitudes,False,3,confirmatory
arabbarometer,Q731_5,Kuwait,ordinal,political_attitudes,False,4,oracle_only
arabbarometer,Q731_5,Mauritania,ordinal,political_attitudes,False,5,oracle_only
arabbarometer,Q731_5,Morocco,ordinal,political_attitudes,False,6,oracle_only
arabbarometer,Q731_5,Tunisia,ordinal,political_attitudes,False,7,oracle_only
arabbarometer,Q731_5,Lebanon,ordinal,political_attitudes,False,8,oracle_only
arabbarometer,Q869F,Mauritania,ordinal,social_attitudes,False,1,confirmatory
arabbarometer,Q869F,Jordan,ordinal,social_attitudes,False,2,confirmatory
arabbarometer,Q869F,Iraq,ordinal,social_attitudes,False,3,confirmatory
arabbarometer,Q869F,Morocco,ordinal,social_attitudes,False,4,oracle_only
arabbarometer,Q869F,Tunisia,ordinal,social_attitudes,False,5,oracle_only
arabbarometer,Q274A,Morocco,ordinal,wellbeing,True,1,confirmatory
arabbarometer,Q274A,Tunisia,ordinal,wellbeing,True,2,confirmatory
arabbarometer,Q274A,Mauritania,ordinal,wellbeing,True,3,confirmatory
arabbarometer,Q274A,Lebanon,ordinal,wellbeing,True,4,oracle_only
arabbarometer,Q274A,Palestine,ordinal,wellbeing,True,5,oracle_only
arabbarometer,Q274A,Iraq,ordinal,wellbeing,True,6,oracle_only
arabbarometer,Q274A,Jordan,ordinal,wellbeing,True,7,oracle_only
arabbarometer,Q540B_1,Jordan,ordinal,contemporary_issues,False,1,confirmatory
arabbarometer,Q540B_1,Lebanon,ordinal,contemporary_issues,False,2,confirmatory
arabbarometer,Q540B_1,Mauritania,ordinal,contemporary_issues,False,3,confirmatory
arabbarometer,Q540B_1,Kuwait,ordinal,contemporary_issues,False,4,oracle_only
arabbarometer,Q540B_1,Palestine,ordinal,contemporary_issues,False,5,oracle_only
arabbarometer,Q540B_1,Iraq,ordinal,contemporary_issues,False,6,oracle_only
arabbarometer,Q540B_1,Morocco,ordinal,contemporary_issues,False,7,oracle_only
arabbarometer,Q540B_1,Tunisia,ordinal,contemporary_issues,False,8,oracle_only
arabbarometer,Q204_2,Tunisia,ordinal,institutional_trust,False,1,confirmatory
arabbarometer,Q204_2,Mauritania,ordinal,institutional_trust,False,2,confirmatory
arabbarometer,Q204_2,Kuwait,ordinal,institutional_trust,False,3,confirmatory
arabbarometer,Q204_2,Palestine,ordinal,institutional_trust,False,4,oracle_only
arabbarometer,Q204_2,Iraq,ordinal,institutional_trust,False,5,oracle_only
arabbarometer,Q204_2,Morocco,ordinal,institutional_trust,False,6,oracle_only
arabbarometer,Q204_2,Jordan,ordinal,institutional_trust,False,7,oracle_only
arabbarometer,Q204_2,Lebanon,ordinal,institutional_trust,False,8,oracle_only
arabbarometer,Q606_2,Jordan,ordinal,values_identity,False,1,confirmatory
arabbarometer,Q606_2,Palestine,ordinal,values_identity,False,2,confirmatory
arabbarometer,Q606_2,Iraq,ordinal,values_identity,False,3,confirmatory
arabbarometer,Q606_2,Lebanon,ordinal,values_identity,False,4,oracle_only
arabbarometer,Q606_2,Mauritania,ordinal,values_identity,False,5,oracle_only
arabbarometer,Q606_2,Morocco,ordinal,values_identity,False,6,oracle_only
arabbarometer,Q606_2,Tunisia,ordinal,values_identity,False,7,oracle_only
arabbarometer,Q303A,Lebanon,ordinal,political_participation,False,1,confirmatory
arabbarometer,Q303A,Tunisia,ordinal,political_participation,False,2,confirmatory
arabbarometer,Q303A,Jordan,ordinal,political_participation,False,3,confirmatory
arabbarometer,Q303A,Iraq,ordinal,political_participation,False,4,oracle_only
arabbarometer,Q303A,Morocco,ordinal,political_participation,False,5,oracle_only
arabbarometer,Q303A,Mauritania,ordinal,political_participation,False,6,oracle_only
arabbarometer,Q521_6,Palestine,ordinal,political_attitudes,False,1,confirmatory
arabbarometer,Q521_6,Mauritania,ordinal,political_attitudes,False,2,confirmatory
arabbarometer,Q521_6,Tunisia,ordinal,political_attitudes,False,3,confirmatory
arabbarometer,Q521_6,Iraq,ordinal,political_attitudes,False,4,oracle_only
arabbarometer,Q521_6,Morocco,ordinal,political_attitudes,False,5,oracle_only
arabbarometer,Q521_6,Jordan,ordinal,political_attitudes,False,6,oracle_only
arabbarometer,Q521_6,Lebanon,ordinal,political_attitudes,False,7,oracle_only
arabbarometer,Q601_4,Lebanon,ordinal,social_attitudes,False,1,confirmatory
arabbarometer,Q601_4,Mauritania,ordinal,social_attitudes,False,2,confirmatory
arabbarometer,Q601_4,Palestine,ordinal,social_attitudes,False,3,confirmatory
arabbarometer,Q601_4,Jordan,ordinal,social_attitudes,False,4,oracle_only
arabbarometer,Q601_4,Kuwait,ordinal,social_attitudes,False,5,oracle_only
arabbarometer,Q601_4,Iraq,ordinal,social_attitudes,False,6,oracle_only
arabbarometer,Q601_4,Tunisia,ordinal,social_attitudes,False,7,oracle_only
arabbarometer,Q601_4,Morocco,ordinal,social_attitudes,False,8,oracle_only
arabbarometer,Q105A,Tunisia,ordinal,wellbeing,False,1,confirmatory
arabbarometer,Q105A,Jordan,ordinal,wellbeing,False,2,confirmatory
arabbarometer,Q105A,Palestine,ordinal,wellbeing,False,3,confirmatory
arabbarometer,Q105A,Kuwait,ordinal,wellbeing,False,4,oracle_only
arabbarometer,Q105A,Morocco,ordinal,wellbeing,False,5,oracle_only
arabbarometer,Q105A,Iraq,ordinal,wellbeing,False,6,oracle_only
arabbarometer,Q105A,Lebanon,ordinal,wellbeing,False,7,oracle_only
arabbarometer,Q105A,Mauritania,ordinal,wellbeing,False,8,oracle_only
arabbarometer,Q540B_3,Morocco,ordinal,contemporary_issues,False,1,confirmatory
arabbarometer,Q540B_3,Lebanon,ordinal,contemporary_issues,False,2,confirmatory
arabbarometer,Q540B_3,Jordan,ordinal,contemporary_issues,False,3,confirmatory
arabbarometer,Q540B_3,Tunisia,ordinal,contemporary_issues,False,4,oracle_only
arabbarometer,Q540B_3,Iraq,ordinal,contemporary_issues,False,5,oracle_only
arabbarometer,Q540B_3,Palestine,ordinal,contemporary_issues,False,6,oracle_only
arabbarometer,Q540B_3,Kuwait,ordinal,contemporary_issues,False,7,oracle_only
arabbarometer,Q540B_3,Mauritania,ordinal,contemporary_issues,False,8,oracle_only
arabbarometer,Q204A_5,Morocco,ordinal,institutional_trust,False,1,confirmatory
arabbarometer,Q204A_5,Iraq,ordinal,institutional_trust,False,2,confirmatory
arabbarometer,Q204A_5,Mauritania,ordinal,institutional_trust,False,3,confirmatory
arabbarometer,Q204A_5,Kuwait,ordinal,institutional_trust,False,4,oracle_only
arabbarometer,Q204A_5,Lebanon,ordinal,institutional_trust,False,5,oracle_only
arabbarometer,Q204A_5,Tunisia,ordinal,institutional_trust,False,6,oracle_only
arabbarometer,Q204A_5,Jordan,ordinal,institutional_trust,False,7,oracle_only
arabbarometer,Q204A_5,Palestine,ordinal,institutional_trust,False,8,oracle_only
asianbarometer,Q22,Australia,binary,social_attitudes,False,1,confirmatory
asianbarometer,Q22,Indonesia,binary,social_attitudes,False,2,confirmatory
asianbarometer,Q22,Korea,binary,social_attitudes,False,3,confirmatory
asianbarometer,Q22,Taiwan,binary,social_attitudes,False,4,oracle_only
asianbarometer,Q22,Cambodia,binary,social_attitudes,False,5,oracle_only
asianbarometer,Q22,Vietnam,binary,social_attitudes,False,6,oracle_only
asianbarometer,Q22,Philippines,binary,social_attitudes,False,7,oracle_only
asianbarometer,Q22,Mongolia,binary,social_attitudes,False,8,oracle_only
asianbarometer,Q22,Thailand,binary,social_attitudes,False,9,oracle_only
asianbarometer,Q156,Thailand,binary,values_identity,False,1,confirmatory
asianbarometer,Q156,Indonesia,binary,values_identity,False,2,confirmatory
asianbarometer,Q156,Taiwan,binary,values_identity,False,3,confirmatory
asianbarometer,Q156,Australia,binary,values_identity,False,4,oracle_only
asianbarometer,Q156,Philippines,binary,values_identity,False,5,oracle_only
asianbarometer,Q156,Korea,binary,values_identity,False,6,oracle_only
